date,usd_to_bdt
2026-06-14,122.9387
2026-06-15,122.8361
2026-06-16,122.7811
2026-06-17,122.7987
2026-06-18,122.7943
2026-06-19,122.8165
2026-06-20,122.4409
2026-06-21,122.5168
2026-06-22,122.5168
2026-06-23,122.6107
2026-06-24,122.6192
2026-06-25,122.98
2026-06-26,123.019
2026-06-27,122.9728
2026-06-28,122.9837
2026-06-29,122.9918
2026-06-30,123.1352
2026-07-01,123.208
2026-07-02,123.1704
2026-07-03,123.2697
2026-07-04,123.3291
2026-07-05,123.3176
2026-07-06,123.195
2026-07-07,123.2747
2026-07-08,123.2172
2026-07-09,123.3253
2026-07-10,123.2226
2026-07-11,123.2834
2026-07-12,123.2736
2026-07-13,123.2638
2026-07-14,123.3609
2026-07-15,123.3232
2026-07-16,123.3261
2026-07-17,123.2269
2026-07-18,123.2452
2026-07-19,123.2407
2026-07-20,123.3796
2026-07-21,123.3591
2026-07-22,123.3557
2026-07-23,123.4145
2026-07-24,123.4468
2026-07-25,123.4131
2026-07-26,123.4223
2026-07-27,123.6098
2026-07-28,123.4447
2026-07-29,123.4935
2026-07-30,123.4545
2026-07-31,123.3812
2026-08-01,123.478
2026-08-02,123.4529
2026-08-03,123.4175
2026-08-04,123.3844
2026-08-05,123.7128
2026-08-06,123.7325
2026-08-07,123.7695
2026-08-08,123.7655
2026-08-09,123.777
2026-08-10,123.5772
2026-08-11,123.586
2026-08-12,123.5269
2026-08-13,123.2272
2026-08-14,122.8871
2026-08-15,122.8107
2026-08-16,122.853
2026-08-17,122.7221
2026-08-18,122.6777
2026-08-19,122.1927
2026-08-20,122.2014
2026-08-21,122.2055
2026-08-22,121.8558
2026-08-23,121.5988
2026-08-24,122.3104
2026-08-25,122.4531
2026-08-26,122.5682
2026-08-27,122.8301
2026-08-28,123.1687
2026-08-29,123.208
2026-08-30,123.183
2026-08-31,123.2679
2026-09-01,123.1305
2026-09-02,122.6927
2026-09-03,122.6341
2026-09-04,122.8021
2026-09-05,122.8594
2026-09-06,122.8316
2026-09-07,122.9279
2026-09-08,122.9532
2026-09-09,122.8599
2026-09-10,122.9707
2026-09-11,123.2385
2026-09-12,123.2927
2026-09-13,123.149
2026-09-14,123.3344
2026-09-15,123.1613
2026-09-16,123.0981
2026-09-17,123.1122
2026-09-18,123.056
2026-09-19,122.8581
2026-09-20,123.3243
2026-09-21,123.0824
2026-09-22,122.7592
2026-09-23,122.8595
