date,usd_to_cny
2026-06-14,6.7817
2026-06-15,6.7691
2026-06-16,6.7719
2026-06-17,6.7698
2026-06-18,6.7742
2026-06-19,6.7836
2026-06-20,6.7844
2026-06-21,6.789
2026-06-22,6.789
2026-06-23,6.7869
2026-06-24,6.8004
2026-06-25,6.8177
2026-06-26,6.8086
2026-06-27,6.8076
2026-06-28,6.8112
2026-06-29,6.8037
2026-06-30,6.8044
2026-07-01,6.7965
2026-07-02,6.8011
2026-07-03,6.7963
2026-07-04,6.7907
2026-07-05,6.7953
2026-07-06,6.7855
2026-07-07,6.8018
2026-07-08,6.8019
2026-07-09,6.8102
2026-07-10,6.8002
2026-07-11,6.7848
2026-07-12,6.79
2026-07-13,6.78
2026-07-14,6.7883
