date,usd_to_eur
2026-06-14,0.8645
2026-06-15,0.8632
2026-06-16,0.8623
2026-06-17,0.8613
2026-06-18,0.8656
2026-06-19,0.8718
2026-06-20,0.8719
2026-06-21,0.872
2026-06-22,0.872
2026-06-23,0.8744
2026-06-24,0.878
2026-06-25,0.8808
2026-06-26,0.8801
2026-06-27,0.8778
2026-06-28,0.878
2026-06-29,0.8782
2026-06-30,0.876
2026-07-01,0.8766
2026-07-02,0.8783
2026-07-03,0.8754
2026-07-04,0.8743
2026-07-05,0.8743
2026-07-06,0.8743
2026-07-07,0.8746
2026-07-08,0.8758
2026-07-09,0.8761
2026-07-10,0.8748
2026-07-11,0.8756
2026-07-12,0.8755
2026-07-13,0.8768
2026-07-14,0.8774
2026-07-15,0.8758
2026-07-16,0.8734
2026-07-17,0.8735
2026-07-18,0.8744
2026-07-19,0.8745
2026-07-20,0.875
2026-07-21,0.8758
2026-07-22,0.8767
2026-07-23,0.8764
2026-07-24,0.8782
2026-07-25,0.879
2026-07-26,0.8788
2026-07-27,0.878
2026-07-28,0.8788
2026-07-29,0.8787
2026-07-30,0.8756
2026-07-31,0.8688
2026-08-01,0.8687
2026-08-02,0.8685
2026-08-03,0.8667
2026-08-04,0.8687
2026-08-05,0.8678
2026-08-06,0.8657
2026-08-07,0.8673
2026-08-08,0.8657
2026-08-09,0.8659
2026-08-10,0.8655
2026-08-11,0.8659
2026-08-12,0.8665
2026-08-13,0.867
2026-08-14,0.8671
2026-08-15,0.8646
2026-08-16,0.8647
2026-08-17,0.8642
2026-08-18,0.8631
2026-08-19,0.8639
2026-08-20,0.8584
2026-08-21,0.856
2026-08-22,0.856
2026-08-23,0.856
2026-08-24,0.8562
2026-08-25,0.8572
2026-08-26,0.8569
2026-08-27,0.8578
2026-08-28,0.8583
2026-08-29,0.8614
2026-08-30,0.8615
2026-08-31,0.8623
2026-09-01,0.8614
2026-09-02,0.8625
2026-09-03,0.8633
2026-09-04,0.8606
2026-09-05,0.8611
2026-09-06,0.8611
2026-09-07,0.8611
2026-09-08,0.8604
2026-09-09,0.8603
2026-09-10,0.8596
2026-09-11,0.8607
2026-09-12,0.862
2026-09-13,0.8618
