date,usd_to_inr
2026-06-14,95.2997
2026-06-15,95.1765
2026-06-16,94.7038
2026-06-17,94.6177
2026-06-18,94.6734
2026-06-19,94.4149
2026-06-20,94.4312
2026-06-21,94.4113
2026-06-22,94.4113
2026-06-23,94.7041
2026-06-24,94.8137
2026-06-25,94.6528
2026-06-26,94.4628
2026-06-27,94.4541
2026-06-28,94.4376
2026-06-29,94.4902
2026-06-30,94.602
2026-07-01,94.6933
2026-07-02,95.2406
2026-07-03,95.3879
2026-07-04,95.3275
2026-07-05,95.3117
2026-07-06,95.3374
2026-07-07,95.456
2026-07-08,95.0475
2026-07-09,95.6046
2026-07-10,95.4736
2026-07-11,95.4392
2026-07-12,95.5482
2026-07-13,95.4928
2026-07-14,95.7208
